Item,Open,Close,Volume
0,0.9410080312841386,0.9275005747082014,0.03290556603829821
1,0.9402561917676254,0.9527979100627152,0.027256946664388337
2,0.9521766388918397,0.9387038396853905,0.02355735210589608
3,0.9831217681471455,0.964884795726645,0.012217237262199771
4,0.9673223312308007,0.9801570270196239,0.012781976696459682
5,0.9688150369316534,0.9698264799967683,0.00598917807830088
6,0.9621902201569451,0.971975483458417,0.007852450701965358
7,0.9671152511516726,0.9615031176873082,0.00951481819066536
8,0.9609479890760894,0.9682992651901671,0.01161574688861709
9,0.9481559102257978,0.9501907421590862,0.024973488301133513
10,0.9373795992433097,0.9518924839111614,0.023361347096174635
11,0.9673223312308007,0.960346762236468,0.01206533337966565
12,0.9635522434473646,0.9631503457773495,0.018189264902150025
13,0.9490385152840487,0.9536706280170492,0.045099527705593556
14,0.9999999999999999,0.9627357922649963,0.03831040418136703
15,0.9986270033774066,1.0,0.014299790490490117
16,0.993026364272252,0.9969673758516108,0.01045564223732829
17,0.9976246061095918,0.9917093458877605,0.012636197970479358
18,0.991718875117484,0.9995636410228333,0.010514443740244725
19,0.9815854185115104,0.9910984599651199,0.014882905394411412
20,0.9841678093497425,0.9825569597805589,0.00962629603994443
21,0.9898883237957653,0.9812478828490584,0.014743251824984885
22,0.9858458147279846,0.9911529736271539,0.012196411729916867
23,0.9853009721592948,0.987989516689883,0.013668899365449218
24,0.9711359798177145,0.98645131592391,0.017560823839730646
25,0.9670608001473252,0.9709064330937961,0.007502091747088278
26,0.9612858346969552,0.9632048594393835,0.012554120872658503
27,0.9471643200275478,0.9561359771724248,0.01061857140165924
28,0.9426097221249904,0.9458599438116034,0.010286587916443546
29,0.9321276128285859,0.9413328962807982,0.01567917574640478
30,0.9501063368883848,0.9322459265680375,0.023624728827987825
31,0.954301391899642,0.9567250576302518,0.007116206884199185
32,0.9453010981032209,0.9508452390113541,0.010009730840212006
33,0.9480905690205811,0.9463945106073964,0.008505392390599921
34,0.9409426069476178,0.9472126316727313,0.00625378484142483
35,0.9463144687032098,0.9460672621812626,0.0076613458174869505
36,0.951882437205756,0.9481071550918784,0.014299790490490117
37,0.9367585252685341,0.9502671445128988,0.01661264960520316
38,0.9468592281405949,0.9410928697139188,0.013412867821500581
39,0.9398530049415429,0.9459363461654161,0.017358693673455404
40,0.9243368795104122,0.9390965877329301,0.015976858354919223
41,0.9213077410426201,0.9267042591076803,0.01507646034151134
42,0.911370391183601,0.9220462123340635,0.022138765848037128
43,0.9166550482009331,0.9129920340454881,0.0407359661766699
44,0.8741599049135828,0.8769059039991732,0.022316395388097186
45,0.8756744741474788,0.8743969439141704,0.009833326331462704
46,0.8657262340875901,0.8740696954880364,0.01858862510945747
47,0.8506677464868893,0.863259095331422,0.014405143183215393
48,0.8421468709226368,0.8414634512996843,0.007990879240081128
49,0.8411880344582997,0.8426962091043372,0.008185659218491813
50,0.8386274240218067,0.8388017697340211,0.00685650024631827
